編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLPJKIJGFAO58CC,14,33.70,集合住宅,鋼筋混凝土造,99年9月17日,四層,,
RPWNMLOJKIJGFAO56CC,10,108.70,集合住宅、機電空間,鋼筋混凝土造,103年11月17日,二十五層,,
RPWNMLOJKIJGFAO56CC,10,21.95,共有部分,鋼筋混凝土造,103年11月17日,二十五層,,
RPWNMLOJKIJGFAO56CC,10,33.02,共有部分,鋼筋混凝土造,103年11月17日,二十七層,,
RPRNMLPJKIJGFAO78CC,31,33.00,住家用,鋼筋混凝土造,82年11月4日,九層,,
RPRNMLPJKIJGFAO78CC,31,15.47,共有部分,鋼筋混凝土造,82年11月4日,九層,,
RPSNMLPJKIJGFAO88CC,35,95.90,住家用,鋼筋混凝土造,78年7月6日,五層,,
RPSNMLPJKIJGFAO88CC,35,15.49,共有部分,鋼筋混凝土造,78年7月6日,五層,,
RPQNMLPJKIJGFAO68CC,30,50.39,住家用,鋼筋混凝土造,83年10月13日,十二層,,
RPQNMLPJKIJGFAO68CC,30,10.23,共有部分,鋼筋混凝土造,83年10月13日,十二層,,
RPVNMLOJKIJGFAO09CC,4,90.60,集合住宅,鋼筋混凝土造,109年7月14日,十五層,,
RPVNMLOJKIJGFAO09CC,4,17.90,共有部分,鋼筋混凝土造,109年7月14日,十五層,,
RPVNMLOJKIJGFAO09CC,4,4.70,共有部分,鋼筋混凝土造,109年7月14日,十五層,,
RPVNMLOJKIJGFAO09CC,4,14.89,共有部分,鋼筋混凝土造,109年7月14日,十五層,,
RPRNMLNKJIJGFAO58CC,20,30.98,集合住宅,鋼筋混凝土造,94年2月20日,四層,,
RPRNMLNKJIJGFAO58CC,20,6.50,共有部分,鋼筋混凝土造,94年2月20日,四層,,
RPRNMLNKJIJGFAO58CC,20,10.36,共有部分,鋼筋混凝土造,94年2月20日,四層,,
RPRNMLLKKIJGFAO48CC,36,20.66,住家用,鋼筋混凝土造,78年1月7日,十二層,,
RPRNMLLKKIJGFAO48CC,36,5.62,共有部分,鋼筋混凝土造,78年1月1日,十二層,,
RPPNMLQJKIJGFAO68CC,34,27.90,住家用,鋼筋混凝土造,79年6月5日,七層,,
RPPNMLQJKIJGFAO68CC,34,7.38,共有部分,鋼筋混凝土造,79年6月5日,七層,,
RPPNMLQJKIJGFAO68CC,34,4.15,共有部分,鋼筋混凝土造,79年6月5日,七層,,
RPSNMLLKKIJGFAO58CC,18,27.79,辦公室,鋼筋混凝土造,95年11月1日,八層,,
RPSNMLLKKIJGFAO58CC,18,3.93,走道,鋼筋混凝土造,95年11月1日,八層,,
RPSNMLLKKIJGFAO58CC,18,24.81,共同使用部份,鋼筋混凝土造,95年11月1日,八層,,
RPUNMLPJKIJGFAO09CC,4,51.01,集合住宅,鋼筋混凝土造,109年6月9日,十四層,,
RPUNMLPJKIJGFAO09CC,4,11.89,共有部分,鋼筋混凝土造,109年6月9日,十四層,,
RPUNMLPJKIJGFAO09CC,4,7.10,共有部分,鋼筋混凝土造,109年6月9日,十四層,,
RPPNMLLKKIJGFAO28CC,36,21.75,住家用,鋼筋混凝土造,78年1月7日,十二層,,
RPPNMLLKKIJGFAO28CC,36,5.94,共有部分,鋼筋混凝土造,78年1月1日,十二層,,
RPTNMLLKKIJGFAO68CC,35,91.71,住家用,鋼筋混凝土造,78年7月14日,五層,,
RPTNMLLKKIJGFAO68CC,,11.49,共有部分,鋼筋混凝土造,,五層,,
RPVNMLLKKIJGFAO88CC,28,112.98,辦公室,鋼筋混凝土造,85年12月31日,十三層,,
RPVNMLLKKIJGFAO88CC,28,30.00,公共設施,鋼筋混凝土造,85年12月31日,十三層,,
RPUNMLLKKIJGFAO78CC,,65.55,住家用,鋼筋混凝土造,,四層,,
RPUNMLLKKIJGFAO78CC,34,10.50,共有部分,鋼筋混凝土造,79年12月7日,四層,,
RPWNMLLKKIJGFAO98CC,31,70.61,住家用,鋼筋混凝土造,82年6月17日,五層,,
RPWNMLLKKIJGFAO98CC,31,8.97,共有部分,鋼筋混凝土造,82年6月17日,五層,,
RPOOMLLKKIJGFAO28CC,17,22.11,集合住宅,鋼筋混凝土造,96年6月30日,六層,,
RPWNMLLKKIJGFAO98CC,31,21.01,停車埸、儲藏室,鋼筋混凝土造,82年6月17日,五層,,
RPOOMLLKKIJGFAO28CC,17,11.69,共同使用部份,鋼筋混凝土造,96年6月30日,六層,,
RPPOMLLKKIJGFAO38CC,32,108.17,住家用,鋼筋混凝土造,82年5月5日,十四層,,
RPPOMLLKKIJGFAO38CC,32,1.76,共有部分,鋼筋混凝土造,82年5月5日,十四層,,
RPPOMLLKKIJGFAO38CC,32,33.70,共有部分,鋼筋混凝土造,82年5月5日,十四層,,
RPUOMLLKKIJGFAO88CC,30,107.23,住商用,鋼筋混凝土造,84年1月18日,九層,,
RPUOMLLKKIJGFAO88CC,30,3.24,共有部分,鋼筋混凝土造,84年1月18日,九層,,
RPUOMLLKKIJGFAO88CC,30,36.06,共有部分,鋼筋混凝土造,84年1月18日,九層,,
RPROMLLKKIJGFAO58CC,31,94.84,住家用,鋼筋混凝土造,82年12月10日,十二層,,
RPROMLLKKIJGFAO58CC,31,21.03,共有部分,鋼筋混凝土造,82年12月10日,十二層,,
RPSOMLLKKIJGFAO68CC,11,29.18,集合住宅,鋼筋混凝土造,102年12月20日,十一層,,
RPSOMLLKKIJGFAO68CC,11,11.27,共有部分,鋼筋混凝土造,102年12月20日,十一層,,
RPSOMLLKKIJGFAO68CC,11,4.36,共有部分,鋼筋混凝土造,102年12月20日,十一層,,
RPTOMLLKKIJGFAO78CC,30,28.76,住家用,鋼筋混凝土造,83年6月22日,五層,,
RPTOMLLKKIJGFAO78CC,30,7.60,共有部分,鋼筋混凝土造,83年6月22日,五層,,
RPTNMLPJKIJGFAO98CC,29,205.92,住宅、停車空間,鋼筋混凝土造,85年4月7日,三層,,
RPTNMLPJKIJGFAO98CC,29,17.69,共有部分,鋼筋混凝土造,85年4月7日,三層,,
RPVOMLLKKIJGFAO98CC,27,20.40,住家用,鋼筋混凝土造,87年5月13日,十層,,
RPVOMLLKKIJGFAO98CC,27,11.39,避難室、停車空間、店舖、住宅,鋼筋混凝土造,87年5月13日,十層,,
RPQOMLLKKIJGFAO48CC,27,25.00,辦公室,鋼筋混凝土造,86年7月15日,十二層,,
RPQOMLLKKIJGFAO48CC,27,4.57,共有部分,鋼筋混凝土造,86年7月15日,十二層,,
RPQOMLLKKIJGFAO48CC,27,.11,共有部分,鋼筋混凝土造,86年7月15日,十二層,,
RPQOMLLKKIJGFAO48CC,27,9.38,共有部分,鋼筋混凝土造,86年7月15日,十二層,,
RPPPMLLKKIJGFAO48CC,28,87.04,住家用,鋼筋混凝土造,85年8月22日,七層,,
RPPPMLLKKIJGFAO48CC,28,16.52,共有部分,鋼筋混凝土造,85年8月22日,七層,,
RPOPMLLKKIJGFAO38CC,,107.65,住家用,鋼筋混凝土造,,五層,,
RPOPMLLKKIJGFAO38CC,35,19.17,共有部分,鋼筋混凝土造,79年5月7日,五層,,
RPXOMLLKKIJGFAO56CC,36,18.50,住家用,鋼筋混凝土造,78年1月7日,十二層,,
RPXOMLLKKIJGFAO56CC,36,5.06,共有部分,鋼筋混凝土造,78年1月1日,十二層,,
RPWOMLLKKIJGFAO09CC,36,20.66,住家用,鋼筋混凝土造,78年1月7日,十二層,,
RPWOMLLKKIJGFAO09CC,36,5.62,共有部分,鋼筋混凝土造,78年1月1日,十二層,,
RPRPMLLKKIJGFAO68CC,33,55.48,住家用,鋼筋混凝土造,80年10月14日,五層,,
RPRPMLLKKIJGFAO68CC,33,9.72,共有部分,鋼筋混凝土造,80年10月14日,五層,,
RPSNMLKLJIJGFAO48CC,16,116.29,集合住宅,鋼筋混凝土造,98年3月31日,十三層,,
RPSNMLKLJIJGFAO48CC,16,70.16,防空避難室兼停車場、機房、警衛室、眷村文物展示空間、迎賓會館、托兒中心、廊道、管理中心、樓梯間、垃圾集中場、儲藏室、水箱、機房,鋼筋混凝土造,98年3月31日,十四層,,
RPRNMLKLJIJGFAO38CC,24,91.87,集合住宅,鋼筋混凝土造,89年10月16日,十五層,,
RPRNMLKLJIJGFAO38CC,24,22.19,共有部分,鋼筋混凝土造,89年10月16日,十五層,,
RPRNMLKLJIJGFAO38CC,24,8.57,停車空間、避難室、台電受電室、車道、門廳、中央管理室,鋼筋混凝土造,89年10月16日,十五層,,
RPPNMLMKKIJGFAO38CC,28,29.86,商業用,鋼筋混凝土造,85年11月5日,十一層,,
RPPNMLMKKIJGFAO38CC,28,12.65,避難室兼停車空間商場,鋼筋混凝土造,85年11月5日,十一層,,
RPTNMLKLJIJGFAO58CC,51,143.50,住家用,加強磚造,62年9月25日,二層,,
RPRNMLMKKIJGFAO58CC,28,24.48,住家用,鋼筋混凝土造,85年11月5日,六層,,
RPRNMLMKKIJGFAO58CC,28,10.15,共同使用（梯間、停車空間、走道）,鋼筋混凝土造,85年11月5日,六層,,
RPPNMLQKKIJGFAO78CC,30,16.53,農舍,鋼筋混凝土造,84年3月24日,三層,,
