編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPSNMLNLKIJGFCH38CC,27,.36,共有部份,鋼筋混凝土造,87年4月7日,十四層,,
RPSNMLNLKIJGFCH38CC,27,9.97,共有部份,鋼筋混凝土造,87年4月7日,十四層,,
RPSNMLNLKIJGFCH38CC,27,4.61,共同使用，停車空間,鋼筋混凝土造,87年4月7日,十四層,,
RPVOMLNLKIJGFBH68CC,31,85.48,住家用,鋼筋混凝土造,83年3月4日,十一層,,
RPVOMLNLKIJGFBH68CC,31,18.13,共有部份,鋼筋混凝土造,83年3月4日,十一層,,
RPVOMLNLKIJGFBH68CC,31,13.33,共有部份,鋼筋混凝土造,83年3月4日,十二層,,
RPTNMLNLKIJGFCH48CC,47,64.48,住家用,加強磚造,67年1月30日,一層,,
RPUNMLNLKIJGFCH58CC,30,181.03,住家用,鋼筋混凝土造,83年7月23日,五層,,
RPUNMLNLKIJGFCH58CC,30,11.96,共有部份,鋼筋混凝土造,83年7月23日,五層,,
RPUNMLNLKIJGFCH58CC,30,2.14,共有部份,鋼筋混凝土造,83年7月23日,五層,,
RPWNMLNLKIJGFCH78CC,23,27.51,集合住宅,鋼筋混凝土造,91年4月3日,十層,,
RPWNMLNLKIJGFCH78CC,23,5.92,共有部份,鋼筋混凝土造,91年4月3日,十層,,
RPWNMLNLKIJGFCH78CC,23,5.38,共有部份,鋼筋混凝土造,91年4月3日,十層,,
RPWNMLNLKIJGFCH78CC,23,7.14,共有部份,鋼筋混凝土造,91年4月3日,十層,,
RPXNMLNLKIJGFCH88CC,30,92.70,住家用,鋼筋混凝土造,83年7月23日,五層,,
RPXNMLNLKIJGFCH88CC,30,11.96,共有部份,鋼筋混凝土造,83年7月23日,五層,,
RPXNMLNLKIJGFCH88CC,30,2.14,共有部份,鋼筋混凝土造,83年7月23日,五層,,
RPOOMLNLKIJGFCH08CC,26,24.00,防空避難室，水箱，住宅，機械室,鋼筋混凝土造,88年5月12日,十層,,
RPQOMLNLKIJGFCH28CC,5,16.10,集合住宅,鋼筋混凝土造,109年1月30日,五層,,
RPQOMLNLKIJGFCH28CC,5,12.35,共有部分：店舖（附屬停車空間）、樓梯間、機械室、水箱等４項。,鋼筋混凝土造,109年1月30日,五層,,
RPPOMLNLKIJGFCH18CC,28,105.61,住家用,鋼筋混凝土造,86年1月30日,十二層,,
