鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
信義區,房地(土地+建物),基隆市信義區東信路７４號４樓,40.0,都市：其他:住宅區,,,1110720,土地1建物1車位0,四層，五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701109,133.86,4,2,2,有,無,6300000,47064,,0.0,0,頂樓加蓋；,RPPNMLNLQHHGFDC97EA,133.86,0.0,0.0,無,028
七堵區,土地,瑪陵坑段東勢中股小段183地號,153.6,,山坡地保育區,農牧用地,1110718,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,372060,2422,,0.0,0,地清或未辦繼承標售；,RPQNMLNLQHHGFDC08EA,0.0,0.0,0.0,無,
七堵區,房地(土地+建物),基隆市七堵區福五街４號,20.46,都市：其他:住宅區,,,1110727,土地1建物1車位0,一層，騎樓,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0690115,74.19,0,0,1,有,無,7430000,100148,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLOLQHHGFDC08EA,74.19,0.0,0.0,無,
安樂區,房地(土地+建物),基隆市安樂區樂利三街３４巷５之３號,32.5,都市：其他:住宅區(住二),,,1110724,土地2建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0671115,68.18,3,2,1,有,無,3980000,58375,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLTKQHHGFDC68EA,68.18,0.0,0.0,無,
安樂區,車位,基隆市安樂區樂利二街６２巷４９號等公共設施,0.0,,,,1110730,土地0建物1車位1,,,其他,,,,41.62,0,0,0,有,有,640000,,坡道平面,41.62,640000,僅車位交易；,RPQNMLMLQHHGFDC97EA,0.0,0.0,0.0,有,029
安樂區,房地(土地+建物),基隆市安樂區中和路８５巷４６號３樓之２,21.23,都市：其他:住宅區(住三),,,1110724,土地7建物1車位0,三層，四層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860508,82.61,2,2,1,有,有,3180000,38494,,0.0,0,,RPOOMLOLQHHGFDC97DA,62.52,0.43,3.94,有,
七堵區,土地,溪頭段511地號,112.3,都市：其他:住宅區(住三),,,1110718,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4100000,36509,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPPNMLPLQHHGFDC18EA,0.0,0.0,0.0,無,
安樂區,房地(土地+建物),基隆市安樂區樂利二街６２巷２３３號３樓,19.16,都市：其他:住宅區(住二),,,1110725,土地2建物1車位0,三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880114,115.00999999999999,3,2,2,有,有,6200000,53908,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPWPMLOLQHHGFDC88DA,74.98,0.45,9.56,有,
中正區,房地(土地+建物),基隆市中正區祥豐街７１５之１號,79.25,都市：其他:住宅區(住一),,,1110731,土地2建物2車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0641030,169.5,11,0,11,有,無,8446000,49829,,0.0,0,申報價格含2個主建物:中正區祥豐街715之1號、中正區祥豐街717之1號其他增建；,RPUNMLPLQHHGFDC58DA,169.5,0.0,0.0,無,
仁愛區,房地(土地+建物),基隆市仁愛區獅球路２４號,15.0,都市：其他:住宅區,,,1110724,土地2建物1車位0,一層，騎樓,四層,公寓(5樓含以下無電梯),住商用,鋼筋混凝土加強磚造,0650426,38.57,0,0,0,無,無,3500000,90744,,0.0,0,,RPVNMLPLQHHGFDC68DA,38.57,0.0,0.0,無,
安樂區,房地(土地+建物),基隆市安樂區樂利三街１３２巷４弄６號,25.26,都市：其他:住宅區(附),,,1110731,土地2建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701229,75.15,3,2,2,有,無,5400000,71856,,0.0,0,其他增建；,RPQQMLSKQHHGFDC68DA,75.15,0.0,0.0,無,
暖暖區,房地(土地+建物),基隆市暖暖區源遠路３２５巷１８之２號,32.48,都市：其他:住宅區(住三),,,1110720,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701003,91.52,3,2,2,有,無,5000000,54633,,0.0,0,,RPWOMLMLQHHGFDC58DA,85.8,0.0,5.72,無,030
安樂區,房地(土地+建物),基隆市安樂區中和路８５巷２５號７樓之４,16.65,都市：其他:住宅區(住三),,,1110719,土地7建物1車位0,七層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860508,65.36,4,2,1,有,有,3950000,60435,,0.0,0,夾層；,RPSPMLMLQHHGFDC28DA,45.55,1.45,5.93,有,031
仁愛區,房地(土地+建物),基隆市仁愛區孝三路４２巷６之２號,9.0,都市：其他:商業區(商四),,,1110728,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701124,30.82,1,1,1,有,無,2350000,76249,,0.0,0,,RPXNMLTLPHHGFDC56DA,30.82,0.0,0.0,無,
中山區,房地(土地+建物),基隆市中山區復興路３３４巷１１號２樓之５,12.62,都市：其他:住宅區(住二),,,1110716,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0970701,36.36,1,1,1,有,有,2500000,68757,,0.0,0,,RPQOMLPKQHHGFDC18DA,23.31,0.0,2.84,有,032
中正區,房地(土地+建物),基隆市中正區義二路１０７號,77.0,都市：其他:商業區(商四),,,1110719,土地2建物1車位0,全,二層,透天厝,商業用,木造,0310000,100.75,0,0,0,無,無,16800000,166749,,0.0,0,,RPTQMLOLQHHGFDC68DA,100.75,0.0,0.0,無,
安樂區,房地(土地+建物),基隆市安樂區安和二街１０號３樓,23.29,都市：其他:住宅區,,,1110728,土地3建物1車位0,三層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850120,124.24000000000001,3,2,2,有,有,7350000,59160,,0.0,0,,RPTUMLPLQHHGFDC56DA,83.57,0.0,10.22,有,
七堵區,土地,工建段102地號,435.71,都市：其他:乙種工業區,,,1110708,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6638899,15237,,0.0,0,地清或未辦繼承標售；,RPRNMLPLQHHGFDC38EA,0.0,0.0,0.0,無,
七堵區,房地(土地+建物),基隆市七堵區福二街６３巷５之１號,70.75,都市：其他:住宅區,,,1110714,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0671020,132.84,4,2,2,有,無,7200000,54201,,0.0,0,,RPQUMLQLQHHGFDC98DA,132.84,0.0,0.0,無,
暖暖區,房地(土地+建物),基隆市暖暖區源遠路２７９之３號３樓,7.74,都市：其他:住宅區(住三),,,1110722,土地1建物1車位0,三層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0861216,45.25,3,2,1,有,有,2950000,65193,,0.0,0,夾層；,RPXNMLTLQHHGFDC66DA,31.12,0.0,3.52,有,
安樂區,房地(土地+建物),基隆市安樂區樂利三街１４８之１號,29.36,都市：其他:住宅區(附),,,1110729,土地2建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720210,82.37,2,2,1,有,無,3200000,38849,,0.0,0,其他增建；,RPOOMLTLQHHGFDC48DA,79.23,0.0,3.14,無,
安樂區,房地(土地+建物),基隆市安樂區基金一路２０８巷１５４弄２２號５樓　,21.08,都市：其他:住宅區(住二),,,1110728,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0831015,79.24000000000001,2,2,1,有,有,2700000,34074,,0.0,0,,RPROMLTLQHHGFDC78DA,61.02,0.0,9.4,無,
信義區,房地(土地+建物),基隆市信義區東信路３５巷１５７之４號,32.6,都市：其他:住宅區,,,1110711,土地4建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700508,94.78,4,3,4,有,無,6000000,63304,,0.0,0,,RPUOMLTLQHHGFDC09DA,85.89,0.0,8.89,無,
安樂區,房地(土地+建物),基隆市安樂區安和一街３３０巷１之３號,28.57,都市：其他:住宅區,,,1110718,土地1建物1車位0,一層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850705,139.01999999999998,3,1,2,有,有,8100000,58265,,0.0,0,,RPXOMLTLQHHGFDC76DA,94.77,10.81,0.0,有,
暖暖區,房地(土地+建物)+車位,基隆市暖暖區暖暖街３３７號９樓,52.93,都市：其他:住宅區(住三),,,1110715,土地1建物1車位1,九層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1020423,222.05,3,2,2,有,有,18000000,81063,坡道機械,19.65,0,,RPUQMLOLQHHGFDC78DA,120.48,5.35,13.29,有,
中正區,房地(土地+建物),基隆市中正區觀海街１１５號１２樓,6.07,都市：其他:住宅區(住二),,,1110729,土地2建物1車位0,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880114,32.57,1,1,1,有,有,1880000,57722,,0.0,0,,RPRTMLPLQHHGFDC88DA,20.79,0.0,3.67,有,
信義區,房地(土地+建物)+車位,基隆市信義區深溪路３８巷５之５號六樓,37.96,都市：其他:住宅區(住四),,,1110714,土地1建物1車位1,六層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1061109,147.36,3,2,2,有,有,11500000,78040,坡道平面,24.17,0,,RPOOMLRKQHHGFDC18DA,71.22,3.31,7.25,有,
七堵區,房地(土地+建物),基隆市七堵區泰和街７５號２樓,32.04,都市：其他:住宅區(住三),,,1110706,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0821124,85.92999999999999,3,2,1,有,無,4800000,55859,,0.0,0,前陽台外推陽台外推；,RPWNMLSLPHHGFDC98DA,70.98,0.0,9.01,無,
