鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
鹽埕區,建物,高雄市鹽埕區莒光街２１９號４樓之６,0.0,商,,,1110710,土地0建物1車位0,四層,12,套房(1房1廳1衛),,鋼筋混凝土造,0720523,45.15,1,0,1,有,有,有,10000,221,,0.0,0,此為高雄市政府社會住宅包租代管計畫之物件，評定市價租金為 11112 元，選擇代管方案需打 9 折，實際租賃契約金額為 10000 元。每月水電瓦斯費由承租人另外負擔。,RPUNMLMLPHHGFAE18CC
鼓山區,房地(土地+建物),高雄市鼓山區青海路２８５號,110.42,住,,,1110708,土地1建物1車位0,一層,5,店面(店鋪),住宅,鋼筋混凝土,0950331,76.5,0,1,1,有,無,無,75200,983,,0.0,0,,RPPOMLMLPHHGFAE77CC
鼓山區,房地(土地+建物),高雄市鼓山區青海路２８５號,110.42,住,,,1110708,土地1建物1車位0,見其他登記事項,5,店面(店鋪),住宅,鋼筋混凝土,0950331,325.5,4,1,6,有,無,無,19800,61,,0.0,0,,RPROMLMLPHHGFAE97CC
苓雅區,建物,高雄市苓雅區新光路６２巷２１號２８樓之３,0.0,商,,,1110710,土地0建物1車位0,二十八層,35,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860421,101.24,2,2,1,有,有,有,15000,148,,0.0,0,,RPPNMLNLPHHGFBE87CC
苓雅區,車位,高雄市苓雅區新光路６２巷B５-７５車位,0.0,商,,,1110718,土地0建物0車位1,,,其他,,,,12.65,0,0,0,有,有,無,1800,,坡道平面,12.65,1800,,RPRNMLNLPHHGFBE08CC
苓雅區,房地(土地+建物),高雄市苓雅區青年一路２６號７樓之１,17.83,住,,,1110721,土地1建物1車位0,七層,12,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0770212,144.76,4,2,2,有,有,無,20000,138,,0.0,0,,RPSNMLNLPHHGFBE18CC
左營區,房地(土地+建物),高雄市左營區文康路４０號８樓之５,11.14,住,,,1110707,土地1建物1車位0,八層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030429,89.05,2,1,1,有,有,有,23000,258,,0.0,0,,RPQNMLNLPHHGFEE28CC
小港區,房地(土地+建物),高雄市小港區民益路６７之８號,13.87,住,,,1110722,土地1建物1車位0,三層,5,公寓(5樓含以下無電梯),,鋼筋混凝土造,0681022,40.98,2,1,1,有,無,有,8500,207,,0.0,0,,RPPNMLNLPHHGFCE97CC
苓雅區,建物,高雄市苓雅區三多四路１１０號１３樓之１,0.0,商,,,1110718,土地0建物1車位1,十三層,25,辦公商業大樓,商業用,鋼骨混凝土造,0811230,150.91,0,0,0,無,無,有,28500,189,坡道平面,0.0,0,,RPPNMLOLPHHGFBE97CC
新興區,房地(土地+建物),高雄市新興區八德二路８８號８樓之３,4.31,商,,,1110713,土地1建物1車位0,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850401,42.269999999999996,1,1,1,有,有,有,10000,237,,0.0,0,,RPVNMLPLPHHGFBE68CC
苓雅區,建物,高雄市苓雅區仁義街２１號３樓之５,0.0,商,,,1110704,土地0建物1車位1,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930303,85.8,2,1,1,有,有,有,21500,248,坡道機械,9.23,2500,,RPWNMLPLPHHGFBE78CC
苓雅區,建物,高雄市苓雅區英明街２６０巷２４之４號,0.0,住,,,1110720,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),,鋼筋混凝土造,0681224,78.91,2,2,2,有,無,有,10000,127,,0.0,0,,RPPOMLPLPHHGFBE18CC
苓雅區,建物,高雄市苓雅區武昌路１１６號,0.0,住,,,1110725,土地0建物1車位0,全,2,透天厝,,加強磚造,0600813,89.28,5,1,3,有,無,有,18000,202,,0.0,0,,RPQOMLPLPHHGFBE28CC
苓雅區,建物,高雄市苓雅區新光路６２巷１２號７樓之２,0.0,商,,,1110701,土地0建物1車位0,七層,35,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860421,113.28,3,1,2,有,有,有,15000,132,,0.0,0,,RPSOMLPLPHHGFBE48CC
新興區,建物,高雄市新興區七賢一路２１６號５樓之５,0.0,商,,,1110701,土地0建物1車位0,五層,13,套房(1房1廳1衛),住家用,鋼筋混凝土造,0830302,58.04,1,0,1,有,有,有,7000,121,,0.0,0,,RPTOMLPLPHHGFBE58CC
苓雅區,房地(土地+建物),高雄市苓雅區自強三路１７７號３樓之１,4.42,商,,,1110711,土地1建物1車位0,三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970919,48.95,1,1,1,有,有,有,14500,296,,0.0,0,,RPVOMLPLPHHGFBE78CC
苓雅區,房地(土地+建物)+車位,高雄市苓雅區中正二路１８６號７樓之７,5.34,商,,,1110706,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1100201,108.52000000000001,2,1,1,有,有,有,23500,217,升降平面,35.38,0,,RPWOMLPLPHHGFBE88CC
苓雅區,建物,高雄市苓雅區信守街２１號,0.0,商,,,1110720,土地0建物0車位0,四層,4,套房(1房1廳1衛),,鋼筋混凝土造,0660802,28.32,1,0,1,有,無,有,7500,265,,0.0,0,此為分租套房，第四層共分成2間，一間平均面積約為28.32平方公尺。電費及每月管理維護費200元皆由承租人負擔。,RPPPMLPLPHHGFBE28CC
苓雅區,建物,高雄市苓雅區光華一路８８號,0.0,商,,,1110704,土地0建物1車位0,全,3,透天厝,,加強磚造,0620707,144.11,1,2,4,有,無,無,26000,180,,0.0,0,,RPRPMLPLPHHGFBE48CC
苓雅區,房地(土地+建物)+車位,高雄市苓雅區三多二路１１號７樓之１,11.89,住,,,1110722,土地2建物1車位1,七層,22,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1100825,133.89,3,2,1,有,有,有,23302,174,坡道平面,20.63,0,,RPSPMLPLPHHGFBE58CC
苓雅區,房地(土地+建物),高雄市苓雅區建民路５號四樓之１,6.11,商,,,1110723,土地1建物1車位0,四層,28,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960314,128.19,3,2,2,有,有,有,22000,172,,0.0,0,,RPTPMLPLPHHGFBE68CC
苓雅區,房地(土地+建物),高雄市苓雅區新光路６２巷２４號２５樓之２,5.24,商,,,1110717,土地1建物1車位0,二十五層,35,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860421,122.36,3,2,2,有,有,有,16000,131,,0.0,0,,RPUPMLPLPHHGFBE78CC
前金區,房地(土地+建物)+車位,高雄市前金區中華三路８６號７樓之１,7.42,商,,,1110708,土地1建物1車位1,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860714,88.25,2,1,1,有,有,有,18000,204,升降機械,13.66,0,,RPUNMLPLPHHGFAE48CC
鼓山區,建物,高雄市鼓山區明倫路５１４巷２１號５樓之１,0.0,住,,,1110705,土地0建物1車位1,五層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0940322,85.03999999999999,2,1,1,有,有,有,18000,216,升降機械,9.99,1800,含機車車位1個。,RPWNMLPLPHHGFAE68CC
鼓山區,房地(土地+建物)+車位,高雄市鼓山區明華路１１９號８樓之２,6.91,商,,,1110715,土地1建物1車位1,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871210,90.41,2,2,1,有,無,有,20000,221,坡道機械,6.24,0,,RPXNMLPLPHHGFAE78CC
鼓山區,房地(土地+建物),高雄市鼓山區南屏路８５５號３樓之３,12.08,商,,,1110708,土地1建物1車位0,三層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951205,126.85,3,2,2,有,有,有,25000,197,,0.0,0,,RPOOMLPLPHHGFAE97CC
鼓山區,建物,高雄市鼓山區龍勝路１５８號四樓,0.0,商,,,1110719,土地0建物1車位0,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950809,54.55,1,0,0,無,無,有,12000,220,,0.0,0,,RPPOMLPLPHHGFAE08CC
鼓山區,建物,高雄市鼓山區博愛二路３４３號１２樓之９,0.0,商,,,1110710,土地0建物1車位0,十二層,13,套房(1房1廳1衛),住家用,鋼筋混凝土造,0830915,42.739999999999995,1,0,1,有,有,有,10000,234,,0.0,0,此為住宅及都市更新中心社會住宅包租代管計畫之物件，評定市價租金為11112元，選擇代管方案需打 9 折，實際租賃契約金額為 10000 元。每月水電瓦斯費由承租人負擔。,RPVOMLPLPHHGFAE68CC
鼓山區,房地(土地+建物)+車位,高雄市鼓山區明華路３４８號７樓之２,8.91,住,,,1110711,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1100430,103.73,2,1,1,有,有,有,27000,260,升降機械,22.08,0,,RPWOMLPLPHHGFAE78CC
左營區,建物,高雄市左營區子華路１１２號,0.0,住,,,1110704,土地0建物1車位0,見其他登記事項,10,店面(店鋪),住商用,鋼筋混凝土造,0830816,114.28,2,1,2,有,有,無,23000,201,,0.0,0,租金含管理費。,RPOOMLPLPHHGFEE38CC
楠梓區,房地(土地+建物),高雄市楠梓區仁昌街８６巷５號,37.87,住,,,1110719,土地1建物1車位0,一層,4,公寓(5樓含以下無電梯),,鋼筋混凝土造,0680407,81.41,3,2,2,有,無,有,18000,221,,0.0,0,,RPTPMLPLPHHGFEE98CC
左營區,房地(土地+建物),高雄市左營區重文街３５號４樓,13.83,住,,,1110708,土地1建物1車位0,四層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1080430,80.4,2,1,1,有,有,有,24500,305,,0.0,0,,RPUPMLPLPHHGFEE09CC
左營區,房地(土地+建物)+車位,高雄市左營區辛亥路２５１號８樓之５,24.62,住,,,1110709,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030703,151.63,3,2,2,有,有,有,29000,191,坡道平面,27.53,0,,RPXQMLPLPHHGFEE86CC
